Date,Open,High,Low,Close,Volume
2022-11-30,141.39999389648438,148.72000122070312,140.5500030517578,148.02999877929688,111380900
2022-12-01,148.2100067138672,149.1300048828125,146.61000061035156,148.30999755859375,71250400
2022-12-02,145.9600067138672,148.0,145.64999389648438,147.80999755859375,65447400
2022-12-05,147.77000427246094,150.9199981689453,145.77000427246094,146.6300048828125,68826400
2022-12-06,147.07000732421875,147.3000030517578,141.9199981689453,142.91000366210938,64727200
2022-12-07,142.19000244140625,143.3699951171875,140.0,140.94000244140625,69721100
2022-12-08,142.36000061035156,143.52000427246094,141.10000610351562,142.64999389648438,62128300
2022-12-09,142.33999633789062,145.57000732421875,140.89999389648438,142.16000366210938,76097000
2022-12-12,142.6999969482422,144.5,141.05999755859375,144.49000549316406,70462700
2022-12-13,149.5,149.97000122070312,144.24000549316406,145.47000122070312,93886200
2022-12-14,145.35000610351562,146.66000366210938,141.16000366210938,143.2100067138672,82291200
2022-12-15,141.11000061035156,141.8000030517578,136.02999877929688,136.5,98931900
2022-12-16,136.69000244140625,137.64999389648438,133.72999572753906,134.50999450683594,160156900
2022-12-19,135.11000061035156,135.1999969482422,131.32000732421875,132.3699951171875,79592600
2022-12-20,131.38999938964844,133.25,129.88999938964844,132.3000030517578,77432800
2022-12-21,132.97999572753906,136.80999755859375,132.75,135.4499969482422,85928000
2022-12-22,134.35000610351562,134.55999755859375,130.3000030517578,132.22999572753906,77852100
2022-12-23,130.9199981689453,132.4199981689453,129.63999938964844,131.86000061035156,63814900
2022-12-27,131.3800048828125,131.41000366210938,128.72000122070312,130.02999877929688,69007800
2022-12-28,129.6699981689453,131.02999877929688,125.87000274658203,126.04000091552734,85438400
2022-12-29,127.98999786376953,130.47999572753906,127.7300033569336,129.61000061035156,75703700
2022-12-30,128.41000366210938,129.9499969482422,127.43000030517578,129.92999267578125,77034200
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,112117500
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,89113600
2023-01-05,127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,80962700
2023-01-06,126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,87754700
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,70790800
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,63896200
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,69458900
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,71379600
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,57809700
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,63646600
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,69672800
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,58280400
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,80223600
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,81760300
2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,66435100
2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,65799300
2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,54105100
2023-01-27,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,70555800
